30 epochs
learned relu
initial positive coefficient: 1.0
initial negative coefficient: 0.0
Epoch 7, Batch 400, Control Accuracy: 0.610, Test Accuracy: 0.650, Control Loss: 137.673, Test Loss: 139.946
Epoch 7, Batch 500, Control Accuracy: 0.650, Test Accuracy: 0.590, Control Loss: 139.919, Test Loss: 134.995
Epoch 7, Batch 600, Control Accuracy: 0.590, Test Accuracy: 0.720, Control Loss: 143.713, Test Loss: 135.550
Epoch 7, Batch 700, Control Accuracy: 0.550, Test Accuracy: 0.680, Control Loss: 131.790, Test Loss: 129.937
Epoch 7, Batch 800, Control Accuracy: 0.540, Test Accuracy: 0.580, Control Loss: 134.021, Test Loss: 131.857
Epoch 8, Batch 100, Control Accuracy: 0.470, Test Accuracy: 0.540, Control Loss: 134.129, Test Loss: 132.300
Epoch 8, Batch 200, Control Accuracy: 0.690, Test Accuracy: 0.630, Control Loss: 132.660, Test Loss: 131.037
Epoch 8, Batch 300, Control Accuracy: 0.680, Test Accuracy: 0.710, Control Loss: 142.998, Test Loss: 136.434
Epoch 8, Batch 400, Control Accuracy: 0.480, Test Accuracy: 0.520, Control Loss: 142.378, Test Loss: 133.131
Epoch 8, Batch 500, Control Accuracy: 0.640, Test Accuracy: 0.620, Control Loss: 134.289, Test Loss: 132.872
Epoch 8, Batch 600, Control Accuracy: 0.560, Test Accuracy: 0.480, Control Loss: 134.577, Test Loss: 131.090
Epoch 8, Batch 700, Control Accuracy: 0.740, Test Accuracy: 0.620, Control Loss: 139.135, Test Loss: 134.975
Epoch 8, Batch 800, Control Accuracy: 0.620, Test Accuracy: 0.570, Control Loss: 137.921, Test Loss: 134.641
Epoch 9, Batch 100, Control Accuracy: 0.800, Test Accuracy: 0.550, Control Loss: 136.651, Test Loss: 137.340
Epoch 9, Batch 200, Control Accuracy: 0.610, Test Accuracy: 0.520, Control Loss: 131.698, Test Loss: 135.982
Epoch 9, Batch 300, Control Accuracy: 0.700, Test Accuracy: 0.810, Control Loss: 142.417, Test Loss: 131.364
Epoch 9, Batch 400, Control Accuracy: 0.820, Test Accuracy: 0.490, Control Loss: 143.003, Test Loss: 133.043
Epoch 9, Batch 500, Control Accuracy: 0.680, Test Accuracy: 0.520, Control Loss: 148.316, Test Loss: 134.021
Epoch 9, Batch 600, Control Accuracy: 0.610, Test Accuracy: 0.970, Control Loss: 149.564, Test Loss: 131.060
Epoch 9, Batch 700, Control Accuracy: 0.610, Test Accuracy: 1.000, Control Loss: 160.067, Test Loss: 133.314
Epoch 9, Batch 800, Control Accuracy: 0.640, Test Accuracy: 1.000, Control Loss: 164.721, Test Loss: 133.553
Epoch 10, Batch 100, Control Accuracy: 0.720, Test Accuracy: 0.000, Control Loss: 172.483, Test Loss: 132.157
Epoch 10, Batch 200, Control Accuracy: 0.160, Test Accuracy: 0.000, Control Loss: 172.983, Test Loss: 139.718
Epoch 10, Batch 300, Control Accuracy: 0.640, Test Accuracy: 0.000, Control Loss: 171.483, Test Loss: 129.198
Epoch 10, Batch 400, Control Accuracy: 0.310, Test Accuracy: 0.000, Control Loss: 173.483, Test Loss: 136.876
Epoch 10, Batch 500, Control Accuracy: 0.540, Test Accuracy: 0.000, Control Loss: 173.733, Test Loss: 135.705
Epoch 10, Batch 600, Control Accuracy: 0.650, Test Accuracy: 0.000, Control Loss: 175.483, Test Loss: 130.089
Epoch 10, Batch 700, Control Accuracy: 0.630, Test Accuracy: 0.000, Control Loss: 169.233, Test Loss: 132.409
Epoch 10, Batch 800, Control Accuracy: 0.250, Test Accuracy: 0.000, Control Loss: 172.733, Test Loss: 132.992
Epoch 11, Batch 100, Control Accuracy: 0.660, Test Accuracy: 0.000, Control Loss: 172.483, Test Loss: 131.400
Epoch 11, Batch 200, Control Accuracy: 0.630, Test Accuracy: 0.000, Control Loss: 171.233, Test Loss: 132.787
Epoch 11, Batch 300, Control Accuracy: 0.010, Test Accuracy: 0.000, Control Loss: 173.483, Test Loss: 143.615
Epoch 11, Batch 400, Control Accuracy: 0.500, Test Accuracy: 0.000, Control Loss: 172.983, Test Loss: 139.668
Epoch 11, Batch 500, Control Accuracy: 0.630, Test Accuracy: 0.000, Control Loss: 170.483, Test Loss: 129.167
Epoch 11, Batch 600, Control Accuracy: 0.570, Test Accuracy: 0.000, Control Loss: 171.233, Test Loss: 134.896
Epoch 11, Batch 700, Control Accuracy: 0.590, Test Accuracy: 0.000, Control Loss: 176.733, Test Loss: 129.100
Epoch 11, Batch 800, Control Accuracy: 0.580, Test Accuracy: 0.000, Control Loss: 172.733, Test Loss: 133.908
Epoch 12, Batch 100, Control Accuracy: 0.610, Test Accuracy: 0.000, Control Loss: 169.983, Test Loss: 131.691
